,basin,date,well_ID,D,T,EC,pH,TH,TDS,Cl,NH4,NO3,SO4,TOC,As,Fe,Mn,X,Y,year,,,,,,
103,Jianan,5/22/2007,4204,5.155,26.8,499,6.6,215,314,18.4,0.02,1.68,56.7,0.55,0.0006,0.013,0.099,120.364118,22.615768,2007,,,,,,
104,Jianan,1/31/2007,4204,4.814,27,680,6.6,301,412,20.3,0.02,1.54,61.3,0.92,0.0012,0.006,0.102,120.364118,22.615768,2007,,,,,,
105,Jianan,10/3/2016,4204,2.311,28.1,1330,6.8,631,860,25.2,0.02,0.07,137,2.24,0.0022,0.498,0.253,120.364118,22.615768,2016,,,,,,
106,Jianan,10/24/2014,4204,4.175,28.1,918,6.6,462,558,10.1,0.01,0.29,143,1.68,0.0005,0.105,0.162,120.364118,22.615768,2014,,,,,,
107,Jianan,4/10/2014,4204,4.998,27.1,399,6.4,159,230,7.2,0.01,0.44,34.5,0.91,0.0003,0.01,0.03,120.364118,22.615768,2014,,,,,,
108,Jianan,10/23/2013,4204,4.33,27.2,605,6.4,274,362,8.7,0.01,1.37,53.9,1.53,0.0004,0.009,0.066,120.364118,22.615768,2013,,,,,,
109,Jianan,10/29/2012,4204,3.62,27.4,693,6.8,359,446,6.2,0.01,0.24,39.5,1.14,0.0009,0.01,0.046,120.364118,22.615768,2012,,,,,,
110,Jianan,4/20/2012,4204,4.984,27,524,6.5,267,350,11.6,0.01,1.05,56.9,0.65,0.0003,0.036,0.054,120.364118,22.615768,2012,,,,,,
111,Jianan,10/28/2020,4204,4.127,29,740,6.4,356,454,11.1,0.01,0.07,61.9,1.51,0.0026,1.59,0.268,120.364118,22.615768,2020,,,,,,
112,Jianan,10/25/2019,4204,3.471,28.4,738,6.77,351,426,8.9,0.01,0.04,36.1,1.36,0.0042,1.58,0.357,120.364118,22.615768,2019,,,,,,
113,Jianan,3/21/2019,4204,4.175,27.4,1090,6.8,344,553,25.3,4.08,1.62,109,2.6,0.01,2.17,0.722,120.364118,22.615768,2019,,,,,,
114,Jianan,10/30/2018,4204,3.234,28.1,750,6.64,372,458,9.2,0.02,0.37,38.6,2.92,0.0049,0.005,0.42,120.364118,22.615768,2018,,,,,,
115,Jianan,10/20/2017,4204,4.456,28.5,609,6.6,272,403,11,0.02,0.03,57.4,1.41,0.0016,0.973,0.207,120.364118,22.615768,2017,,,,,,
116,Jianan,11/6/2001,4210,5.694,27.5,1680,6.9,504,1080,253,0.27,0.97,127,5.8,0.01,4.25,0.365,120.2488888,22.733412,2001,,,,,,
